Alpha,Cd, , 
0,0.02804581, , 
0.1,0.02785019, , 
0.2,0.02765319, , 
0.3,0.02746349, , 
0.4,0.02719977, , 
0.5,0.02698225, , 
0.7,0.02803772, , 
0.8,0.02794324, , 
0.9,0.02780734, , 
1,0.02764893, , 
1.1,0.02749245, , 
1.2,0.02731119, , 
1.3,0.02710534, , 
1.4,0.02688994, , 
1.5,0.0266782, , 
1.6,0.02643843, , 
1.7,0.02621467, , 
1.8,0.02761457, , 
1.9,0.02749777, , 
2,0.02733464, , 
2.1,0.02717586, , 
2.2,0.02701113, , 
2.3,0.02682599, , 
2.4,0.02662289, , 
2.5,0.02639925, , 
2.6,0.026167, , 
2.7,0.02590774, , 
2.8,0.02567522, , 
2.9,0.0272279, , 
3,0.02722466, , 
3.1,0.02707519, , 
3.2,0.02690765, , 
3.3,0.02671046, , 
3.4,0.02648256, , 
3.5,0.02624967, , 
3.6,0.0260153, , 
3.7,0.02578775, , 
3.8,0.02557656, , 
3.9,0.02537665, , 
4,0.02600033, , 
4.1,0.02694198, , 
4.2,0.02695987, , 
4.3,0.02684184, , 
4.4,0.02661621, , 
4.5,0.02633501, , 
4.6,0.02605613, , 
4.7,0.02580771, , 
4.8,0.02556528, , 
4.9,0.02530277, , 
5,0.02506936, , 
5.1,0.02543136, , 
5.2,0.02609266, , 
5.3,0.02623322, , 
5.4,0.02631698, , 
5.5,0.02614355, , 
5.6,0.02586897, , 
5.7,0.02550684, , 
5.8,0.02509129, , 
5.9,0.02472637, , 
6,0.02483452, , 
6.1,0.02548691, , 
6.2,0.02585384, , 
6.3,0.02585922, , 
6.4,0.02561075, , 
6.5,0.02520571, , 
6.6,0.02475217, , 
6.7,0.02435528, , 
6.8,0.02445389, , 
6.9,0.0248848, , 
7,0.02507701, , 
7.1,0.02498217, , 
7.2,0.02467811, , 
7.3,0.02426867, , 
7.4,0.0239517, , 
7.5,0.0241151, , 
7.6,0.02439102, , 
7.7,0.02448728, , 
7.8,0.02438477, , 
7.9,0.02414947, , 
8,0.02388134, , 
8.1,0.02391718, , 
8.2,0.02413335, , 
8.3,0.02419075, , 
8.4,0.02407674, , 
8.5,0.02385475, , 
8.6,0.0238237, , 
8.7,0.02404238, , 
8.8,0.02414782, , 
8.9,0.02413007, , 
9,0.02401161, , 
9.1,0.02419866, , 
9.2,0.02440634, , 
9.3,0.02450944, , 
9.4,0.02451816, , 
9.5,0.02473663, , 
9.6,0.02501007, , 
9.7,0.02521451, , 
9.8,0.02543347, , 
9.9,0.02582772, , 
10,0.0261895, , 
10.1,0.02657114, , 
10.2,0.02707421, , 
10.3,0.02760282, , 
10.4,0.02818766, , 
10.5,0.02881887, , 
10.6,0.02951143, , 
10.7,0.03024632, , 
10.8,0.03100672, , 
10.9,0.03184504, , 
11,0.03266798, , 
11.1,0.03349511, , 
11.2,0.03438443, , 
11.3,0.03527009, , 
11.4,0.03610294, , 
11.5,0.03697009, , 
11.6,0.03787502, , 
11.7,0.03873014, , 
11.8,0.03956641, , 
11.9,0.04041622, , 
12,0.04127519, , 
12.1,0.04209127, , 
12.2,0.04293611, , 
12.3,0.04376581, , 
12.4,0.04459928, , 
12.5,0.04543011, , 
12.6,0.04623987, , 
12.7,0.04682033, , 
12.8,0.04764915, , 
12.9,0.04847994, , 
13,0.04929784, , 
13.1,0.05009314, , 
13.2,0.05088667, , 
13.3,0.05166367, , 
13.4,0.05242299, , 
13.5,0.05317038, , 
13.6,0.05390763, , 
13.7,0.05509689, , 
13.8,0.0560492, , 
13.9,0.05704304, , 
14,0.0580679, , 
14.1,0.05911477, , 
14.2,0.06018211, , 
14.3,0.06129991, , 
14.4,0.06243844, , 
14.5,0.063572, , 
14.6,0.06468416, , 
14.7,0.06576424, , 
14.8,0.0668116, , 
14.9,0.06782054, , 
15,0.0688061, , 
15.1,0.06977952, , 
15.2,0.0708741, , 
15.3,0.07246527, , 
15.4,0.07474478, , 
15.6,0.07891876, , 
15.7,0.08060816, , 
15.8,0.08242907, , 
15.9,0.08433414, , 
16,0.08634205, , 
16.1,0.08849203, , 
16.2,0.09073996, , 
16.3,0.09311547, , 
16.4,0.0956682, , 
16.5,0.09834472, , 
16.6,0.1012238, , 
16.7,0.1043199, , 
16.8,0.1076223, , 
16.9,0.1112697, , 
17,0.1152174, , 
17.1,0.1196986, , 
17.2,0.1247245, , 
17.3,0.1305376, , 
17.4,0.1356371, , 
17.5,0.1878947, , 
17.6,0.1907021, , 
17.7,0.1932073, , 
17.8,0.1953129, , 
17.9,0.1973081, , 
18,0.2156301, , 
18.1,0.2171929, , 
18.2,0.2187007, , 
18.3,0.2201531, , 
18.4,0.2215643, , 
18.5,0.2229681, , 
18.6,0.2244311, , 
18.7,0.2261048, , 
18.8,0.2282286, , 
18.9,0.2311371, , 
19,0.2388894, , 
19.1,0.2408995, , 
19.2,0.2427776, , 
19.3,0.2444055, , 
19.4,0.2457163, , 
19.5,0.2464155, , 
19.6,0.2454595, , 
19.7,0.2463865, , 
19.8,0.2480434, , 
19.9,0.249742, , 
20,0.2514287, , 
