Alpha,Cl, , 
0,0.1268063, , 
0.1,0.1459567, , 
0.2,0.1663001, , 
0.3,0.1868015, , 
0.4,0.2041767, , 
0.5,0.2212104, , 
0.7,0.1851698, , 
0.8,0.1980326, , 
0.9,0.2131249, , 
1,0.2298855, , 
1.1,0.2468008, , 
1.2,0.2647536, , 
1.3,0.2830292, , 
1.4,0.301692, , 
1.5,0.3207197, , 
1.6,0.3391593, , 
1.7,0.3570229, , 
1.8,0.3081855, , 
1.9,0.3207396, , 
2,0.3359116, , 
2.1,0.3514221, , 
2.2,0.3673192, , 
2.3,0.3838346, , 
2.4,0.4010355, , 
2.5,0.4190316, , 
2.6,0.4378438, , 
2.7,0.4566398, , 
2.8,0.4757545, , 
2.9,0.43581, , 
3,0.4450101, , 
3.1,0.4587484, , 
3.2,0.4726824, , 
3.3,0.4877276, , 
3.4,0.5045483, , 
3.5,0.5229381, , 
3.6,0.5422046, , 
3.7,0.5618917, , 
3.8,0.5817764, , 
3.9,0.6023891, , 
4,0.5977536, , 
4.1,0.5895282, , 
4.2,0.6039486, , 
4.3,0.6208745, , 
4.4,0.6401448, , 
4.5,0.6627379, , 
4.6,0.6866051, , 
4.7,0.7101265, , 
4.8,0.7337802, , 
4.9,0.758393, , 
5,0.7836068, , 
5.1,0.7964791, , 
5.2,0.8018064, , 
5.3,0.8172548, , 
5.4,0.8129698, , 
5.5,0.8225785, , 
5.6,0.8377512, , 
5.7,0.8570925, , 
5.8,0.8794582, , 
5.9,0.9030173, , 
6,0.9132412, , 
6.1,0.9043662, , 
6.2,0.9063593, , 
6.3,0.9168807, , 
6.4,0.9328037, , 
6.5,0.9526657, , 
6.6,0.974546, , 
6.7,0.9974356, , 
6.8,1.010135, , 
6.9,1.009328, , 
7,1.014744, , 
7.1,1.026302, , 
7.2,1.042524, , 
7.3,1.061811, , 
7.4,1.082386, , 
7.5,1.09149, , 
7.6,1.093401, , 
7.7,1.099966, , 
7.8,1.111058, , 
7.9,1.125578, , 
8,1.143112, , 
8.1,1.155017, , 
8.2,1.156408, , 
8.3,1.162008, , 
8.4,1.171543, , 
8.5,1.185166, , 
8.6,1.198473, , 
8.7,1.198947, , 
8.8,1.202778, , 
8.9,1.209531, , 
9,1.222124, , 
9.1,1.225582, , 
9.2,1.22644, , 
9.3,1.229588, , 
9.4,1.237114, , 
9.5,1.238735, , 
9.6,1.237626, , 
9.7,1.239082, , 
9.8,1.242565, , 
9.9,1.240584, , 
10,1.239999, , 
10.1,1.240721, , 
10.2,1.238892, , 
10.3,1.237148, , 
10.4,1.235801, , 
10.5,1.233983, , 
10.6,1.23156, , 
10.7,1.229888, , 
10.8,1.227984, , 
10.9,1.225252, , 
11,1.224157, , 
11.1,1.222738, , 
11.2,1.220662, , 
11.3,1.220393, , 
11.4,1.220194, , 
11.5,1.219504, , 
11.6,1.219101, , 
11.7,1.221037, , 
11.8,1.221408, , 
11.9,1.221651, , 
12,1.221966, , 
12.1,1.227455, , 
12.2,1.227406, , 
12.3,1.228284, , 
12.4,1.229212, , 
12.5,1.230244, , 
12.6,1.232141, , 
12.7,1.24659, , 
12.8,1.247645, , 
12.9,1.249612, , 
13,1.252329, , 
13.1,1.255608, , 
13.2,1.258939, , 
13.3,1.262505, , 
13.4,1.266525, , 
13.5,1.271688, , 
13.6,1.285234, , 
13.7,1.297714, , 
13.8,1.298614, , 
13.9,1.299709, , 
14,1.30077, , 
14.1,1.301766, , 
14.2,1.302528, , 
14.3,1.302429, , 
14.4,1.301966, , 
14.5,1.301477, , 
14.6,1.301134, , 
14.7,1.301041, , 
14.8,1.301217, , 
14.9,1.301806, , 
15,1.302848, , 
15.1,1.304805, , 
15.2,1.307537, , 
15.3,1.309019, , 
15.4,1.306088, , 
15.6,1.292614, , 
15.7,1.286474, , 
15.8,1.279848, , 
15.9,1.272994, , 
16,1.2657, , 
16.1,1.257603, , 
16.2,1.249192, , 
16.3,1.240248, , 
16.4,1.230359, , 
16.5,1.220097, , 
16.6,1.208894, , 
16.7,1.196801, , 
16.8,1.183964, , 
16.9,1.169589, , 
17,1.1543, , 
17.1,1.136909, , 
17.2,1.117738, , 
17.3,1.096133, , 
17.4,1.078581, , 
17.5,0.9128107, , 
17.6,0.9115462, , 
17.7,0.9117939, , 
17.8,0.9143913, , 
17.9,0.9189707, , 
18,0.8700872, , 
18.1,0.8722279, , 
18.2,0.875008, , 
18.3,0.87848, , 
18.4,0.8827423, , 
18.5,0.8879735, , 
18.6,0.8944806, , 
18.7,0.9028255, , 
18.8,0.9135511, , 
18.9,0.9248777, , 
19,0.9317217, , 
19.1,0.9317681, , 
19.2,0.9316981, , 
19.3,0.9296113, , 
19.4,0.9266697, , 
19.5,0.9216062, , 
19.6,0.9079354, , 
19.7,0.9028975, , 
19.8,0.9033836, , 
19.9,0.904943, , 
20,0.90702, , 
