Alpha,Cl, , 
0.1,0.452605, , 
0.2,0.4635449, , 
0.3,0.4776162, , 
0.4,0.4936929, , 
0.5,0.5112007, , 
0.6,0.5293827, , 
0.7,0.5482815, , 
0.8,0.5676687, , 
1.1,0.579356, , 
1.2,0.59422, , 
1.3,0.6104716, , 
1.4,0.6280661, , 
1.5,0.6465534, , 
1.6,0.6656989, , 
1.7,0.6854766, , 
1.8,0.7048607, , 
2,0.6933335, , 
2.1,0.7087913, , 
2.2,0.7259147, , 
2.3,0.7443379, , 
2.4,0.7636568, , 
2.5,0.783048, , 
2.6,0.80265, , 
2.7,0.8228433, , 
2.9,0.8096007, , 
3,0.8263443, , 
3.1,0.8444665, , 
3.2,0.8632023, , 
3.3,0.8823645, , 
3.4,0.902581, , 
3.5,0.9236333, , 
3.6,0.9453722, , 
3.7,0.967923, , 
4,0.9699604, , 
4.1,0.9902052, , 
4.2,1.011401, , 
4.3,1.033915, , 
4.4,1.058245, , 
4.5,1.082528, , 
4.6,1.107261, , 
4.8,1.091738, , 
4.9,1.112748, , 
5,1.135311, , 
5.1,1.159258, , 
5.2,1.185023, , 
5.3,1.202916, , 
5.4,1.192033, , 
5.5,1.204141, , 
5.6,1.223721, , 
5.7,1.246137, , 
5.8,1.271966, , 
5.9,1.26586, , 
6,1.274139, , 
6.1,1.290172, , 
6.2,1.31369, , 
6.3,1.315, , 
6.4,1.320714, , 
6.5,1.334787, , 
6.6,1.350935, , 
6.7,1.352379, , 
6.8,1.361262, , 
6.9,1.378486, , 
7,1.379156, , 
7.1,1.386328, , 
7.2,1.397821, , 
7.3,1.399877, , 
7.4,1.407139, , 
7.5,1.412931, , 
7.6,1.416487, , 
7.7,1.424069, , 
7.8,1.425506, , 
7.9,1.428956, , 
8,1.432506, , 
8.1,1.434085, , 
8.2,1.437543, , 
8.3,1.43884, , 
8.4,1.439698, , 
8.5,1.441684, , 
8.6,1.442964, , 
8.7,1.444294, , 
8.8,1.446273, , 
8.9,1.447595, , 
9,1.449712, , 
9.1,1.451795, , 
9.2,1.453418, , 
9.3,1.455576, , 
9.4,1.458428, , 
9.5,1.460471, , 
9.6,1.462205, , 
9.7,1.466588, , 
9.8,1.469032, , 
9.9,1.471395, , 
10,1.473916, , 
10.1,1.481245, , 
10.2,1.484132, , 
10.3,1.48764, , 
10.4,1.491082, , 
10.5,1.494637, , 
10.6,1.50679, , 
10.7,1.509265, , 
10.8,1.512563, , 
10.9,1.515935, , 
11,1.519134, , 
11.1,1.522485, , 
11.2,1.537613, , 
11.3,1.537789, , 
11.4,1.539035, , 
11.5,1.541059, , 
11.6,1.543597, , 
11.7,1.546877, , 
11.8,1.551447, , 
11.9,1.561074, , 
12,1.57584, , 
12.1,1.577602, , 
12.2,1.579569, , 
12.3,1.581456, , 
12.4,1.583302, , 
12.5,1.585101, , 
12.6,1.587014, , 
12.7,1.58919, , 
12.8,1.592367, , 
12.9,1.607693, , 
13,1.604502, , 
13.1,1.601866, , 
13.2,1.599749, , 
13.3,1.598415, , 
13.4,1.597898, , 
13.5,1.597151, , 
13.6,1.596052, , 
13.7,1.594856, , 
13.8,1.593743, , 
13.9,1.59287, , 
14,1.59217, , 
14.1,1.591881, , 
14.2,1.592355, , 
14.3,1.593858, , 
14.4,1.59585, , 
14.5,1.594881, , 
14.6,1.588782, , 
14.7,1.579463, , 
14.8,1.571131, , 
14.9,1.563347, , 
15,1.555146, , 
15.1,1.546515, , 
15.2,1.537642, , 
15.3,1.528133, , 
15.4,1.51831, , 
15.5,1.508014, , 
15.6,1.497176, , 
15.7,1.486022, , 
15.8,1.474183, , 
15.9,1.462033, , 
16,1.449096, , 
16.1,1.435738, , 
16.2,1.421463, , 
16.3,1.406615, , 
16.4,1.390859, , 
16.5,1.374016, , 
16.6,1.356036, , 
16.7,1.339574, , 
16.8,1.320481, , 
16.9,1.167106, , 
17,1.166331, , 
17.1,1.16673, , 
17.2,1.168236, , 
17.3,1.178654, , 
17.4,1.122574, , 
17.5,1.124434, , 
17.6,1.127008, , 
17.7,1.130334, , 
17.8,1.13449, , 
17.9,1.139605, , 
18,1.145977, , 
18.1,1.153755, , 
18.2,1.161692, , 
18.3,1.171989, , 
18.4,1.172917, , 
18.5,1.171953, , 
18.6,1.168923, , 
18.7,1.164974, , 
18.8,1.159272, , 
18.9,1.149499, , 
19,1.141328, , 
19.1,1.139958, , 
19.2,1.140938, , 
19.3,1.143324, , 
19.4,1.147252, , 
19.5,1.152749, , 
19.6,1.158297, , 
19.7,1.165379, , 
19.8,1.176587, , 
