Alpha,Cd, , 
0,0.02579841, , 
0.1,0.02571476, , 
0.2,0.02559407, , 
0.3,0.0254366, , 
0.4,0.02525382, , 
0.5,0.02503823, , 
0.6,0.02479039, , 
0.7,0.02462847, , 
0.8,0.02456175, , 
0.9,0.02456318, , 
1,0.02588968, , 
1.1,0.02611979, , 
1.2,0.02615251, , 
1.3,0.02608525, , 
1.4,0.02595992, , 
1.5,0.02583062, , 
1.6,0.025681, , 
1.7,0.0255306, , 
1.8,0.02539841, , 
1.9,0.02531114, , 
2,0.02593302, , 
2.1,0.02694755, , 
2.2,0.0271747, , 
2.3,0.02722235, , 
2.4,0.02715844, , 
2.5,0.02704742, , 
2.6,0.02689164, , 
2.7,0.02669761, , 
2.8,0.02648386, , 
2.9,0.02627158, , 
3,0.0260903, , 
3.1,0.02599005, , 
3.2,0.02768227, , 
3.3,0.02793521, , 
3.4,0.02794982, , 
3.5,0.02786412, , 
3.6,0.02769876, , 
3.7,0.02746853, , 
3.8,0.02719619, , 
3.9,0.0269096, , 
4,0.02663551, , 
4.1,0.02640353, , 
4.2,0.0262602, , 
4.3,0.02793991, , 
4.4,0.02827459, , 
4.5,0.02836722, , 
4.6,0.02828107, , 
4.7,0.02807306, , 
4.8,0.02778903, , 
4.9,0.0274607, , 
5,0.0271167, , 
5.1,0.02677729, , 
5.2,0.02649391, , 
5.3,0.02696966, , 
5.4,0.02800073, , 
5.5,0.02834431, , 
5.6,0.02836421, , 
5.7,0.02819761, , 
5.8,0.02791578, , 
5.9,0.0275574, , 
6,0.02714393, , 
6.1,0.02672666, , 
6.2,0.02639287, , 
6.3,0.02688653, , 
6.4,0.02764829, , 
6.5,0.02788532, , 
6.6,0.02781367, , 
6.7,0.02753945, , 
6.8,0.02714368, , 
6.9,0.02671332, , 
7,0.02633978, , 
7.1,0.02614203, , 
7.2,0.02682576, , 
7.3,0.02725087, , 
7.4,0.02732809, , 
7.5,0.02715472, , 
7.6,0.02684597, , 
7.7,0.0264774, , 
7.8,0.02614956, , 
7.9,0.02628521, , 
8,0.026728, , 
8.1,0.02694133, , 
8.2,0.02692563, , 
8.3,0.02672998, , 
8.4,0.0264448, , 
8.5,0.02620857, , 
8.6,0.02653885, , 
8.7,0.02686812, , 
8.8,0.02700278, , 
8.9,0.02693444, , 
9,0.02674867, , 
9.1,0.02655315, , 
9.2,0.02689659, , 
9.3,0.02718784, , 
9.4,0.02732037, , 
9.5,0.02730518, , 
9.6,0.02717296, , 
9.7,0.02736296, , 
9.8,0.02770533, , 
9.9,0.02794473, , 
10,0.0280697, , 
10.1,0.02806811, , 
10.2,0.02828803, , 
10.3,0.02866705, , 
10.4,0.0289714, , 
10.5,0.02917677, , 
10.6,0.02930088, , 
10.7,0.02962773, , 
10.8,0.03009671, , 
10.9,0.03053051, , 
11,0.03088103, , 
11.1,0.03113062, , 
11.2,0.03168763, , 
11.3,0.03230502, , 
11.4,0.03287139, , 
11.5,0.03335736, , 
11.6,0.03387288, , 
11.7,0.0346429, , 
11.8,0.03537629, , 
11.9,0.03605829, , 
12,0.03664778, , 
12.1,0.03757673, , 
12.2,0.03847033, , 
12.3,0.03932929, , 
12.4,0.04012887, , 
12.5,0.04106144, , 
12.6,0.04208594, , 
12.7,0.04307599, , 
12.8,0.04400601, , 
12.9,0.04487955, , 
13,0.04599223, , 
13.1,0.04708549, , 
13.2,0.04814571, , 
13.3,0.04909614, , 
13.4,0.05011807, , 
13.5,0.05136324, , 
13.6,0.05258585, , 
13.7,0.05379168, , 
13.8,0.05489097, , 
13.9,0.05603413, , 
14,0.0574575, , 
14.1,0.05885151, , 
14.2,0.0602595, , 
14.3,0.06165672, , 
14.4,0.06280205, , 
14.5,0.06444163, , 
14.6,0.06601105, , 
14.7,0.06756834, , 
14.8,0.0691585, , 
14.9,0.07061435, , 
15,0.07181176, , 
15.1,0.07351956, , 
15.2,0.07517801, , 
15.3,0.07685908, , 
15.4,0.07852417, , 
15.5,0.08011496, , 
15.6,0.08110394, , 
15.7,0.0829779, , 
15.8,0.08483713, , 
15.9,0.08669639, , 
16,0.08852764, , 
16.1,0.09031139, , 
16.2,0.0912514, , 
16.3,0.09332341, , 
16.4,0.09527468, , 
16.5,0.09712668, , 
16.6,0.09885714, , 
16.7,0.1004725, , 
16.8,0.1020167, , 
16.9,0.1029536, , 
17,0.1037421, , 
17.1,0.1055215, , 
17.2,0.1072818, , 
17.3,0.109053, , 
17.4,0.1109111, , 
17.5,0.1128436, , 
17.6,0.1148197, , 
17.7,0.1168456, , 
17.8,0.1189405, , 
17.9,0.1211617, , 
18,0.1235624, , 
18.1,0.1260174, , 
18.2,0.1285529, , 
18.3,0.1312623, , 
18.4,0.134304, , 
18.5,0.1375233, , 
18.6,0.1409904, , 
18.7,0.1449641, , 
18.8,0.1492234, , 
18.9,0.1541894, , 
19,0.1597551, , 
19.1,0.1664868, , 
19.2,0.1745633, , 
19.3,0.1837875, , 
19.4,0.192745, , 
19.5,0.2002525, , 
19.6,0.2063414, , 
19.8,0.2195477, , 
19.9,0.239699, , 
20,0.2427086, , 
